04:54:17 doubler_9060XT=6% game_9070XT=0%
04:54:20 doubler_9060XT=6% game_9070XT=0%
04:54:23 doubler_9060XT=6% game_9070XT=0%
04:54:27 doubler_9060XT=6% game_9070XT=0%
04:54:30 doubler_9060XT=6% game_9070XT=0%
04:54:33 doubler_9060XT=6% game_9070XT=0%
04:54:36 doubler_9060XT=6% game_9070XT=0%
04:54:39 doubler_9060XT=6% game_9070XT=0%
04:54:42 doubler_9060XT=6% game_9070XT=0%
04:54:45 doubler_9060XT=6% game_9070XT=0%
04:54:48 doubler_9060XT=6% game_9070XT=0%
04:54:51 doubler_9060XT=6% game_9070XT=0%
04:54:54 doubler_9060XT=6% game_9070XT=0%
04:54:57 doubler_9060XT=6% game_9070XT=0%
04:55:00 doubler_9060XT=6% game_9070XT=0%
04:55:03 doubler_9060XT=6% game_9070XT=0%
04:55:06 doubler_9060XT=6% game_9070XT=0%
04:55:09 doubler_9060XT=6% game_9070XT=0%
04:55:12 doubler_9060XT=6% game_9070XT=0%
04:55:15 doubler_9060XT=6% game_9070XT=0%
04:55:18 doubler_9060XT=6% game_9070XT=0%
04:55:21 doubler_9060XT=6% game_9070XT=0%
04:55:24 doubler_9060XT=6% game_9070XT=0%
04:55:27 doubler_9060XT=6% game_9070XT=0%
04:55:30 doubler_9060XT=6% game_9070XT=0%
04:55:33 doubler_9060XT=6% game_9070XT=0%
04:55:36 doubler_9060XT=6% game_9070XT=0%
04:55:39 doubler_9060XT=6% game_9070XT=0%
04:55:42 doubler_9060XT=6% game_9070XT=0%
04:55:45 doubler_9060XT=6% game_9070XT=0%
04:55:48 doubler_9060XT=6% game_9070XT=0%
04:55:51 doubler_9060XT=6% game_9070XT=0%
04:55:54 doubler_9060XT=6% game_9070XT=0%
04:55:57 doubler_9060XT=6% game_9070XT=0%
04:56:00 doubler_9060XT=6% game_9070XT=0%
04:56:03 doubler_9060XT=6% game_9070XT=0%
04:56:06 doubler_9060XT=6% game_9070XT=0%
04:56:09 doubler_9060XT=6% game_9070XT=0%
04:56:12 doubler_9060XT=6% game_9070XT=0%
04:56:15 doubler_9060XT=6% game_9070XT=0%
04:56:18 doubler_9060XT=6% game_9070XT=0%
04:56:21 doubler_9060XT=6% game_9070XT=0%
04:56:24 doubler_9060XT=6% game_9070XT=0%
04:56:27 doubler_9060XT=6% game_9070XT=0%
04:56:30 doubler_9060XT=6% game_9070XT=0%
04:56:33 doubler_9060XT=6% game_9070XT=0%
